name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_004da_00000,0.9878014221961152,0.8532625210200687,0.9878977613403386,0.7296080272286458,0.8570200893477166,-11.081357127623319,0.8347790640252675,0.16721755240429945,0.3623043687588062,-1.9162092232118617,murray_rec_pfc,base_arprior,2,0.2163894095744779,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_004da_00001,0.9883633326627683,0.8856296799838278,0.9900514359586992,0.866300583809574,0.9601739435879347,0.7207860527365482,0.33845057301704773,-1.5637889689470863,0.10562541652140137,-0.3392675524160844,murray_rec_pfc,base_mvnprior,4,0.4174499965861691,30,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_004da_00002,0.988450745818554,0.8962689379856986,0.9900956103035671,0.8676077122009838,0.8681883270697087,0.5455239190205252,0.6099489267951478,-0.42471138452485113,0.6099489267951403,0.03521174452229303,murray_rec_pfc,base_arprior,1,0.27026224824102363,30,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_004da_00003,0.9700978969383542,0.6741210079526652,0.9197593998777827,-2.42192727112826,0.919425707001388,0.6105987316353951,0.4062614472129211,-2.142310176656134,0.21306017046848708,-0.6404763219102888,murray_rec_pfc,base_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_004da_00004,0.9882340098026613,0.8724083738589207,0.9900628271001308,0.8588858008953248,0.9629582158892982,0.7020792064258773,0.9447832679127364,0.6102351932398791,0.5346660612702296,-0.9197540091657314,murray_rec_pfc,base_mvnprior,4,0.4742167937922779,30,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_004da_00005,0.9886063632775505,0.878934832346049,0.990319279992704,0.8463368475585796,0.9564533139747452,0.7184813244083943,0.9638267281014963,0.7571797242863014,0.4789466936337176,0.011251620101176247,murray_rec_pfc,base_arprior,2,0.41014172899029033,30,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_004da_00006,0.9883468628756541,0.8868279429137683,0.9899709037139359,0.8434816120413245,0.9418780858366876,0.643919460194084,0.8409889852031245,0.3353475251164438,0.45293894395295203,0.13795942904728334,murray_rec_pfc,base_arprior,2,0.32874775643037685,30,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_004da_00007,0.9737183982686867,0.7904622871137492,0.7970569559398815,-13.13877512073607,0.9796176751360919,0.32772659201124904,0.9373217483178742,0.6593624677772668,0.9373217483178732,-0.37430249737726423,murray_rec_pfc,base_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_004da_00008,0.9782121859989145,0.8364220171610284,0.9758489139533757,0.17085580059171193,0.9797282350856866,0.30922428328285473,0.9493443888922724,0.6571574064854936,0.2826641657820412,-0.10089772045061304,murray_rec_pfc,base_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_004da_00009,0.9725287852465778,0.7485257566658797,0.9608543689719792,-1.079845998879207,0.9719787491686415,0.5273425291356163,0.9504901864439125,0.661775244073102,0.5655131523062304,0.0067410834256441485,murray_rec_pfc,base_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_004da_00010,0.9882732392959307,0.8687791664066892,0.9897861956883146,0.8478836743731918,0.9639536381723434,0.6034249356899293,0.9660243783223557,0.7664585320551834,0.2786463811726842,-0.450185528803216,murray_rec_pfc,base_arprior,4,0.5768452442025991,30,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_004da_00011,0.9881174622398521,0.8653039575018192,0.9887016716330713,0.7350411795789412,0.9837923970425464,0.64859178822823,0.9710074015739395,0.7525943627879639,0.6201254317788636,-0.39188334125123025,murray_rec_pfc,base_mvnprior,2,0.5818361974762949,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_004da_00012,0.9871127505985383,0.890946903059116,0.9850028372750089,0.5752183456784987,0.9810670854359684,0.8029470621294359,0.9376957378698925,0.6665246777374001,0.2433430879103551,0.12810927247983867,murray_rec_pfc,base_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_004da_00013,0.9880871609425714,0.883690119996892,0.9898342180362824,0.8534621571514879,0.9676486217554242,0.769477626347707,0.7264555382448205,-0.030538883164045728,0.7264555382448168,0.246241570477728,murray_rec_pfc,base_mvnprior,1,0.48445715119589994,30,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_004da_00014,0.9861059595246786,0.8131770842376581,0.9880534107834594,0.8394364081494696,0.9627093082964796,0.5600149885206358,0.20441967264446237,-1.808811306530979,0.06117115997554451,-0.1770633888516775,murray_rec_pfc,base_arprior,4,0.5454560360982303,30,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_004da_00015,0.9879040826483537,0.8824301854492255,0.9895852487286972,0.8454777202371686,0.983007856290316,0.7910405229327405,0.9653457155962575,0.7460980156380572,0.5411059114933486,-0.40947856683168554,murray_rec_pfc,base_mvnprior,2,0.5289495310172281,30,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_004da_00016,0.987150593180351,0.8835839002217502,0.983002503892964,0.5424577004403156,0.9412984857469091,0.47042153751952037,9.057774557064135e-07,-1.9394662454742437,9.057774500442761e-07,-0.014108361710783762,murray_rec_pfc,base_arprior,1,0.3771011315898126,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_004da_00017,0.9821283453896986,0.8350648305336762,0.9164120591474272,-5.140088392125668,0.9855935990087963,0.4490774288586085,0.9538869829058519,0.6899469492861805,0.5391298057557243,-0.21776914737572198,murray_rec_pfc,base_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_004da_00018,0.9864852900400211,0.7993550103304393,0.9807653414952281,0.026181167356066036,0.6903160084779054,-0.12700627283936838,0.0015728794531690848,-1.9413313530702603,0.0015728794531775225,-0.1288372054928771,murray_rec_pfc,base_mvnprior,1,0.22667600350684058,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_004da_00019,0.9691526493039139,0.591923335451932,0.8995970019200771,-1.6660693064189296,0.9040847455975303,-3.338866191492162,0.010086135223339676,-2.0415188803126343,0.0026292359965597034,-0.08118517811956692,murray_rec_pfc,base_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
