name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_04c92_00000,1.2510410393127134,0.3291180530567126,0.8155368056860866,0.9731342330044654,murray_rec_pfc,base_arprior,2,0.2163894095744779,20,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_04c92_00001,1.3465629816153084,0.35529711424248744,1.057889717048154,0.8570009245943327,murray_rec_pfc,base_mvnprior,4,0.4174499965861691,40,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_04c92_00002,1.3469250619466933,0.5160470078277166,0.9250016848498113,0.9250016848498114,murray_rec_pfc,base_arprior,1,0.27026224824102363,40,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_04c92_00003,1.1112255849634,0.2824140447588752,0.8016744899251459,0.3734385270511025,murray_rec_pfc,base_arprior,2,0.2497133105998256,10,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_04c92_00004,1.3465257395620216,0.36920524420841144,1.058108030357979,0.7926208059984737,murray_rec_pfc,base_mvnprior,4,0.4742167937922779,40,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_04c92_00005,1.3465915099373564,0.2633578099216889,0.8049476916827584,0.5018724921686992,murray_rec_pfc,base_arprior,2,0.41014172899029033,40,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_04c92_00006,1.3465886942565928,0.2601226320714765,0.803958960379671,0.43643382439176537,murray_rec_pfc,base_arprior,2,0.32874775643037685,40,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_04c92_00007,1.1179224008547508,0.39370776636469723,0.7183896883378122,0.7183896883378128,murray_rec_pfc,base_arprior,1,0.44927485787441696,10,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_04c92_00008,1.1103908352803593,0.22864675452895905,1.0546778147361566,0.42775158266058266,murray_rec_pfc,base_arprior,4,0.33444682421826416,10,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_04c92_00009,1.1105609448374087,0.19319736205624746,1.0585759142099538,0.3806779795367701,murray_rec_pfc,base_mvnprior,4,0.3618207359286113,10,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_04c92_00010,1.346549946290853,0.31880176980167846,1.0555611641028946,0.7835947855569309,murray_rec_pfc,base_arprior,4,0.5768452442025991,40,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_04c92_00011,1.2513046446579505,0.3483752819585753,0.8033166990826255,0.607487051252285,murray_rec_pfc,base_mvnprior,2,0.5818361974762949,20,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_04c92_00012,1.1106824306789609,0.2156082119339822,1.0571484405271006,0.6185827785577728,murray_rec_pfc,base_arprior,4,0.5030915381233165,10,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_04c92_00013,1.3467515904318357,0.468761105447823,1.3221799384200377,1.3221799384200374,murray_rec_pfc,base_mvnprior,1,0.48445715119589994,40,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_04c92_00014,1.3467048438216072,0.3202619440066617,1.0627997006649048,0.8240715813229822,murray_rec_pfc,base_arprior,4,0.5454560360982303,40,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_04c92_00015,1.3465644004732114,0.29537564277767,0.806786025009194,0.5939060834478344,murray_rec_pfc,base_mvnprior,2,0.5289495310172281,40,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_04c92_00016,1.2518857883615198,0.48823846856853925,0.8084721507414017,0.8084721507414012,murray_rec_pfc,base_arprior,1,0.3771011315898126,20,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_04c92_00017,1.111737740842384,0.35192365089248123,0.8083589209321185,0.2948523202115043,murray_rec_pfc,base_arprior,2,0.4876879091306961,10,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_04c92_00018,1.2518261325520015,0.4414234229875929,0.9817166751986961,0.9817166751986961,murray_rec_pfc,base_mvnprior,1,0.22667600350684058,20,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_04c92_00019,1.1110386958115608,0.2897411672800296,1.0587892588473373,0.45059045356783795,murray_rec_pfc,base_arprior,4,0.296670285637738,10,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
