name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.ci_enc_dim,model.co_dim,model.con_dim,model.dropout_rate,model.ext_input_dim,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_eeeb4_00000,0.9934587697285796,0.9329732494598736,0.9935806639314082,0.8579796471389273,0.9369456977587283,0.6120720558972758,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.3079146855055481,2,30,1.2076665792328135e-06,1.120941392828578e-06,0.447736303184423,0.1790939671847833
run_model_eeeb4_00001,0.9844963903049793,0.5777278444474143,0.9704642249559687,0.19630393689926623,0.9040304467090035,0.7018348122724035,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.44265431030687197,2,10,2.8773528450070836e-05,4.274398161693904e-05,0.18340628601973463,0.5499075661406078
run_model_eeeb4_00002,0.9929516834309401,0.9499139525458066,0.9941485920345463,0.9460089535182342,0.9734872896375754,0.8692317829148274,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.5429617106350277,2,30,1.1672695343339098e-06,0.00015451346766855238,0.2836061794577942,0.0005042228030788948
run_model_eeeb4_00003,0.983664275377988,0.8406676199494586,0.8054308575498004,-11.642047055755407,0.9818581917618923,0.9042113892627256,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.41658448809963666,2,2,3.975793149585637e-06,1.8537948170285836e-05,0.0003141471369267714,0.00012980119315177805
run_model_eeeb4_00004,0.9836400235148477,0.7343807827912906,0.8639985724203442,-7.750435281640644,0.9681326028304132,0.8082279171101151,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.4588758046297,2,2,1.7012581665586315e-05,1.4159002641738985e-05,0.8381878382308892,0.9746299280198961
run_model_eeeb4_00005,0.9929417089996033,0.9518542143395345,0.9941635730820945,0.9485346419247721,0.9752275383066049,0.8703450343388616,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.4742167937922779,2,30,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_eeeb4_00006,0.9853022116199817,0.6511723167001501,0.971938801404228,0.3866298508276584,0.9111067946360218,0.7642824127686199,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.41014172899029033,2,10,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_eeeb4_00007,0.9939072762645745,0.9437707105672848,0.9949429351379998,0.9342129188513227,0.9555169906537735,0.78504474787149,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.3431180786836281,2,30,1.3901435898886447e-05,9.238642740866005e-06,0.002247216433003018,0.023834174836194107
run_model_eeeb4_00008,0.992950845908097,0.9537028188264224,0.9941165532712061,0.9454140473430185,0.9708162642287509,0.8594401666179253,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.5561097408019169,2,30,2.8465262102705984e-06,7.40562017831689e-05,0.21408024377043972,0.00021680104655789
run_model_eeeb4_00009,0.9926785358086544,0.9368807067616517,0.9916203294268556,0.8163976053333791,0.966501513357662,0.850843785016883,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.5148393229954733,2,10,3.011195037241742e-06,0.0004260422723978781,0.002210386615698376,0.00017150316503695493
run_model_eeeb4_00010,0.9938428725169497,0.9253483268950615,0.9923106291454009,0.762049606583258,0.9616134214439978,0.6235485509365365,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.3801357466597148,2,10,3.914249822693202e-05,4.91956413795156e-06,0.004151522148940408,0.00016146753089889106
run_model_eeeb4_00011,0.986237884856792,0.8302676340031097,0.8933104768671546,-4.920203094157632,0.843279984793976,0.6340913013021108,,,,,murray_rec_pfc_ext,base_mvnprior,0,0,0,0.27940521780370214,2,2,1.5188192442250788e-06,5.508040919108843e-05,0.0487505491116247,0.0015659739427482423
