name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_851a1_00000,1.1123467344531424,0.35221857383487054,1.1833616366391293,1.2598371253182767,murray_recnf_pfc,base_arprior,2,0.2163894095744779,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_851a1_00001,1.311989798639674,0.2605501327979278,1.1764470452557076,1.054488180517069,murray_recnf_pfc,base_mvnprior,4,0.4174499965861691,30,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_851a1_00002,1.311940225638574,0.2948207460137177,0.6840572031301728,0.6840572031301735,murray_recnf_pfc,base_arprior,1,0.27026224824102363,30,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_851a1_00003,0.24811543201767794,0.2919586288694155,1.0487522664813351,0.8697228872133892,murray_recnf_pfc,base_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_851a1_00004,1.3120347759275963,0.21201859642174542,1.2551236259686473,1.1285389105871269,murray_recnf_pfc,base_mvnprior,4,0.4742167937922779,30,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_851a1_00005,1.3119478321349622,0.3368565488018937,1.2324698589500684,1.1125162987158923,murray_recnf_pfc,base_arprior,2,0.41014172899029033,30,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_851a1_00006,1.3119626741301162,0.3597810116656846,1.111194524490142,0.8976263335517533,murray_recnf_pfc,base_arprior,2,0.32874775643037685,30,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_851a1_00007,0.9022599712101936,0.5609834896239451,1.155513967532976,1.1555139675329762,murray_recnf_pfc,base_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_851a1_00008,0.19265181824159353,0.17155773120395743,1.3138925058655393,1.1540273530880172,murray_recnf_pfc,base_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_851a1_00009,0.2291543024536545,0.2096514540084168,1.280843707941741,1.0609496256319493,murray_recnf_pfc,base_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_851a1_00010,1.3121639081077046,0.19973680186165824,1.3292364408038408,1.1558539060087978,murray_recnf_pfc,base_arprior,4,0.5768452442025991,30,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_851a1_00011,1.1126146727171577,0.21312737317355493,1.2790935265528245,1.178089940450617,murray_recnf_pfc,base_mvnprior,2,0.5818361974762949,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_851a1_00012,0.1742983269985619,0.17455174331119708,1.3030157261631106,1.0196136271546816,murray_recnf_pfc,base_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_851a1_00013,1.3120834230197613,0.25808130150943276,0.9160804264424098,0.9160804264424097,murray_recnf_pfc,base_mvnprior,1,0.48445715119589994,30,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_851a1_00014,1.3126660925112992,0.23875985537022168,1.2489390597033367,1.0757038674429489,murray_recnf_pfc,base_arprior,4,0.5454560360982303,30,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_851a1_00015,1.3120778707484426,0.19874407512731498,1.2541091954441306,1.2126267603383099,murray_recnf_pfc,base_mvnprior,2,0.5289495310172281,30,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_851a1_00016,1.1131100560281937,0.378603155911141,1.37131236511399,1.37131236511399,murray_recnf_pfc,base_arprior,1,0.3771011315898126,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_851a1_00017,0.2080686269031941,0.25683749581095405,1.133923893660893,1.0323579956225177,murray_recnf_pfc,base_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_851a1_00018,1.1126659148181977,0.668905830017851,1.4596494681624408,1.459649468162441,murray_recnf_pfc,base_mvnprior,1,0.22667600350684058,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_851a1_00019,0.42418489784692337,0.43615288706182676,1.541049566179763,1.5294387776203722,murray_recnf_pfc,base_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
