name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_851a1_00000,0.9781978136388815,0.7238818195919059,0.980606091018541,0.4774597415641608,0.9082968967755546,-13.00025345059455,0.28556759291346656,-0.25267250336752634,0.13922232684669877,-6.290157695371426,murray_recnf_pfc,base_arprior,2,0.2163894095744779,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_851a1_00001,0.9791040313831203,0.724672069337441,0.9828364622610545,0.6225352396699951,0.9402772077530881,0.2130202696766915,0.590439800691912,-0.05705231178577877,0.24136700825697122,-0.6422121103255588,murray_recnf_pfc,base_mvnprior,4,0.4174499965861691,30,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_851a1_00002,0.9794810602724827,0.7389719246939997,0.9831182630288463,0.663888641255379,0.8497887801342597,0.0993385364523177,0.6006485369203322,-0.006888866780635864,0.6006485369203249,-0.1042461067048249,murray_recnf_pfc,base_arprior,1,0.27026224824102363,30,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_851a1_00003,0.9650723014224764,0.48683652720726583,0.9402145777116168,-1.702813858220316,0.940614042567428,0.3693158723388542,0.4972830650345528,-0.31643292541476703,0.3786230923375342,-0.9178766236360134,murray_recnf_pfc,base_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_851a1_00004,0.9788649795409144,0.7114089274502826,0.9823285805439925,0.6084349192063659,0.9501065852442845,0.15280604581050197,0.3855060721248774,-0.32416155787018264,0.18673241947095573,-2.417310835074554,murray_recnf_pfc,base_mvnprior,4,0.4742167937922779,30,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_851a1_00005,0.9793274667562218,0.7269927767547834,0.9829173817238361,0.6443284084027925,0.9574018382652081,0.20444032930360576,0.22029414269132686,-0.42341381270855866,0.11128694256772936,-2.949698538951482,murray_recnf_pfc,base_arprior,2,0.41014172899029033,30,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_851a1_00006,0.9792920245834871,0.7156274079033226,0.9829030535891587,0.63817267772363,0.9404840870363009,0.16813493621166573,0.39348051157151764,-0.2669164101775712,0.19780693890228823,-1.3239077987381516,murray_recnf_pfc,base_arprior,2,0.32874775643037685,30,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_851a1_00007,0.9570360389715693,0.5905456997750033,0.7288089760645777,-20.97116214942511,0.9734622692487442,-0.978908905802303,0.16277053551625342,-0.5008547622304266,0.16277053551623788,-3.0748162189395036,murray_recnf_pfc,base_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_851a1_00008,0.9667489743724046,0.6802478940652533,0.9711001584209428,0.13484729829706282,0.9663434880524866,-0.41641038399030444,0.2581611332594589,-0.3613112842711731,0.06779874099641992,-2.3430070872768094,murray_recnf_pfc,base_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_851a1_00009,0.9604502364058927,0.6040204600333442,0.9636049794289423,-0.5047568738736765,0.9611353928922834,-1.5799591553036383,0.32688484030911924,-0.2868102791918419,0.13583082126716273,-1.7682036141441309,murray_recnf_pfc,base_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
