name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_839ca_00000,1.1157593598157862,0.3645805487638192,1.0563693824964226,0.9161161537984124,murray_recnf_pfc,odinlin_arprior,2,0.2163894095744779,0.05,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_839ca_00001,1.2557217771830218,0.44096376412936955,1.2102104952565846,1.1956760995131375,murray_recnf_pfc,odinlin_mvnprior,4,0.4174499965861691,0.05,20,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_839ca_00002,1.2587162041028366,0.42723755871924507,1.1765585177521982,1.1765585177521978,murray_recnf_pfc,odinlin_arprior,1,0.27026224824102363,0.05,20,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_839ca_00003,0.9111313472933072,0.389397932409902,1.0796033064728647,0.8589233223514919,murray_recnf_pfc,odinlin_arprior,2,0.2497133105998256,0.05,5,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_839ca_00004,1.255847816040175,0.4748833075910138,1.1975469820131135,1.1386063284038936,murray_recnf_pfc,odinlin_mvnprior,4,0.4742167937922779,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_839ca_00005,1.2550021109105844,0.3466171891121808,1.0466275070154152,0.8340057004642832,murray_recnf_pfc,odinlin_arprior,2,0.41014172899029033,0.05,20,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_839ca_00006,1.2565338534949484,0.39627756811115916,1.125429960794792,1.1169232795432138,murray_recnf_pfc,odinlin_arprior,2,0.32874775643037685,0.05,20,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_839ca_00007,0.9505385035791842,0.5658000761607856,1.1623315053972028,1.1623315053972023,murray_recnf_pfc,odinlin_arprior,1,0.44927485787441696,0.05,5,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_839ca_00008,0.9098035334740983,0.42012365859102413,1.2735250211004931,1.1354919476920733,murray_recnf_pfc,odinlin_arprior,4,0.33444682421826416,0.05,5,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_839ca_00009,0.9149247878170774,0.38746552561318537,1.2905007267357211,1.0705578725197449,murray_recnf_pfc,odinlin_mvnprior,4,0.3618207359286113,0.05,5,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_839ca_00010,1.2547573773555452,0.3454145660542202,1.2184500392835,1.0036545019667802,murray_recnf_pfc,odinlin_arprior,4,0.5768452442025991,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_839ca_00011,1.1236126650804592,0.43965037063498963,1.178933940676473,1.0431831335229607,murray_recnf_pfc,odinlin_mvnprior,2,0.5818361974762949,0.05,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_839ca_00012,0.9362626680109216,0.5651926420205514,1.2600586944775674,1.147378757313099,murray_recnf_pfc,odinlin_arprior,4,0.5030915381233165,0.05,5,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_839ca_00013,1.2637262202504127,0.39796721134911256,0.8279134496818498,0.8279134496818501,murray_recnf_pfc,odinlin_mvnprior,1,0.48445715119589994,0.05,20,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_839ca_00014,1.2548141493549643,0.34807374150391446,1.1911566673660077,0.9783282644228161,murray_recnf_pfc,odinlin_arprior,4,0.5454560360982303,0.05,20,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_839ca_00015,1.2570750892536262,0.32928749366715265,1.0750321357733204,0.9755262454750525,murray_recnf_pfc,odinlin_mvnprior,2,0.5289495310172281,0.05,20,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_839ca_00016,1.1276270678828353,0.443157887955869,0.8354519629881715,0.8354519629881719,murray_recnf_pfc,odinlin_arprior,1,0.3771011315898126,0.05,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_839ca_00017,0.9093430024939381,0.45962036627543434,1.251208147159975,1.142318311702084,murray_recnf_pfc,odinlin_arprior,2,0.4876879091306961,0.05,5,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_839ca_00018,1.1498267822116084,0.4468434943704067,0.8460339895196344,0.8460339895196346,murray_recnf_pfc,odinlin_mvnprior,1,0.22667600350684058,0.05,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_839ca_00019,0.9093243863120608,0.41351513282982966,1.1833405497826697,0.8799477914564972,murray_recnf_pfc,odinlin_arprior,4,0.296670285637738,0.05,5,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
